MAL_ID,Name,Score,Genres,Type,Episodes,Aired
3417,Yawaraka Sangokushi Tsukisase!! Ryofuko-chan,6.4,"Comedy, Ecchi, Magic",OVA,4,2007-12-26
3418,Jungle no Ouja Taa-chan,7.01,"Action, Comedy, Parody",TV,50,1993-10-14
3419,Sumomomo Momomo: Chijou Saikyou no Yome Specials,6.94,"Comedy, Ecchi, Martial Arts, Romance",Special,2,2007-09-04
3420,Shigofumi,7.49,"Drama, Fantasy, Psychological, Supernatural, Thriller",TV,12,2008-01-06
3421,Kodomo no Omocha,7.12,"Comedy, Drama, School, Shoujo",OVA,1,1995-12-16
3422,Donburi Kazoku,5.93,Hentai,OVA,2,2006-06-09
3424,Porphy no Nagai Tabi,6.99,"Drama, Historical, Kids, Slice of Life",TV,52,2008-01-06
3425,Meiken Lassie,6.73,"Adventure, Slice of Life, Kids",TV,25,1996-01-14
3427,Oni-Tensei,6.16,"Hentai, Horror, Supernatural",OVA,4,2000-03-25
3428,Injuu vs. Onna Spy,5.46,"Hentai, Horror",OVA,1,1997-03-28
3429,Blame! Special,5.36,"Mecha, Sci-Fi",Special,1,2003-10-24
3430,Blame! Prologue,5.49,"Action, Mecha, Sci-Fi",OVA,2,2007-09-07
3432,Chou Mashin Eiyuuden Wataru,6.91,"Action, Adventure, Comedy, Mecha",TV,51,1997-10-02
3433,Go-Q-Choji Ikkiman,6.43,"Sci-Fi, Sports",TV,32,1986-04-13
3434,Hey! Bumboo,6.07,"Adventure, Cars, Kids",TV,130,1985-04-08
3435,Joou Heika no Petite Angie,6.38,"Historical, Mystery, Shoujo",TV,26,1977-12-13
3436,Meme Iroiro Yume no Tabi,6.6,"Adventure, Kids, Sci-Fi",TV,127,1983-04-03
3437,Mister Ajikko,7.07,"Comedy, Shounen",TV,99,1987-10-08
3438,Moero! Top Striker,6.7,"Action, Shounen, Sports",TV,49,1991-10-10
3439,Darcrows,5.74,Hentai,OVA,2,2003-10-25
3442,Ninpou Midare Karakuri,6.14,Hentai,OVA,2,1996-08-23
3444,The☆Ultraman,6.37,"Action, Sci-Fi, Space, Super Power",TV,50,1979-04-04
3446,Biohazard: Degeneration,7.05,"Action, Horror, Sci-Fi",Movie,1,2008-10-18
3447,Koukaku Kidoutai: Stand Alone Complex - Solid State Society - Uchikoma na Hibi,6.96,"Sci-Fi, Comedy, Mecha",Special,1,2007-07-24
3448,Mad★Bull 34,6.32,"Action, Police",OVA,4,1990-12-21
3449,Kamichu! Specials,7.49,"Slice of Life, Comedy, Supernatural, Drama",Special,4,2005-11-23
3452,Onna Kyoushi,6.0,Hentai,OVA,3,2002-12-25
3454,Kowaremono,5.61,Hentai,OVA,3,2000-05-20
3455,To LOVE-Ru,7.07,"Sci-Fi, Harem, Comedy, Romance, Ecchi, School, Shounen",TV,26,2008-04-04
3456,Candy☆Boy: Side Story For Archive,6.85,"Romance, School, Shoujo Ai",ONA,1,2007-11-22
3457,Vampire Knight,7.03,"Drama, Mystery, Romance, Shoujo, Supernatural, Vampire",TV,13,2008-04-08
3460,Bosco Daibouken,6.95,"Kids, Adventure, Fantasy",TV,26,1986-10-06
3461,Gensou Jotan Ellcia,5.98,"Adventure, Fantasy",OVA,4,1992-10-23
3462,Minky Momo in Yume ni Kakeru Hashi,7.06,"Drama, Shoujo, Slice of Life",OVA,1,1993-05-21
3463,A.LI.CE,4.97,Sci-Fi,Movie,1,2000-02-05
3464,Kemeko Deluxe!,6.59,"Action, Comedy, Ecchi, Romance, School, Sci-Fi, Shounen",TV,12,2008-10-05
3465,Nagasaki 1945: Angelus no Kane,6.48,"Drama, Historical, Military",Movie,1,2005-09-09
3466,Kino no Tabi: The Beautiful World - Tou no Kuni - Free Lance,7.6,"Adventure, Psychological, Fantasy",Special,1,2005-10-19
3467,Nogizaka Haruka no Himitsu,7.24,"Comedy, Romance",TV,12,2008-07-03
3468,Maria-sama ga Miteru Specials,7.37,"Drama, Romance, School, Shoujo, Shoujo Ai, Slice of Life",Special,7,2004-04-04
3469,Maria-sama ga Miteru: Haru Specials,7.34,"Slice of Life, Romance, School, Drama, Shoujo, Shoujo Ai",Special,6,2004-10-22
3470,Special A,7.56,"Comedy, Romance, School, Shoujo",TV,24,2008-04-07
3472,Tenrankai no E,6.26,Comedy,Movie,1,1966-11-11
3473,Souseiki,5.52,Parody,Movie,1,1968-10-01
3474,Push,6.27,Parody,Special,1,1987-08-21
3475,Muramasa,6.21,"Historical, Horror, Martial Arts, Samurai",Movie,1,1987-08-21
3478,Mrs. Junkie,6.7,Hentai,OVA,2,2006-02-25
3479,Taimanin Asagi,6.87,"Action, Demons, Hentai, Martial Arts, Supernatural",OVA,4,2007-02-24
3480,Nayuta,5.56,"Action, Sci-Fi, Shoujo",OVA,1,1986-07-31
3481,Grendizer: Getter Robo G - Great Mazinger Kessen! Daikaijuu,6.45,"Action, Mecha, Sci-Fi, Shounen",Movie,1,1976-07-18
3482,Madonna,6.23,"Sports, Comedy, School",OVA,2,1988-03-11
3483,Maison Ikkoku: Shiki Utsuriyuku Kisetsu no Naka de,6.97,"Comedy, Drama, Romance, Seinen",OVA,1,1988-12-21
3484,Maison Ikkoku: Prelude - Meguru Haru no Sakura no You ni...,6.78,"Comedy, Drama, Romance, Seinen",Special,1,1992-06-25
3485,Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Tachikoma na Hibi,7.2,"Sci-Fi, Comedy, Mecha",Special,26,2004-09-10
3486,Yuusha Tokkyuu Might Gaine,6.91,"Action, Sci-Fi, Adventure, Mecha",TV,47,1993-01-30
3488,Genji Monogatari,6.47,"Drama, Historical, Romance",Movie,1,1987-12-19
3490,Rayca,4.88,Sci-Fi,OVA,1,2002-03-05
3493,Ryuusei no Rockman Tribe,6.97,Adventure,TV,21,2007-11-03
3496,Ougon no Hou: El Cantare no Rekishikan,5.29,"Historical, Fantasy",Movie,1,2003-10-11
3498,Shin Onimusha: Dawn of Dreams the Story,5.98,"Action, Historical, Demons, Martial Arts, Samurai",OVA,1,2006-07-26
3499,DinoZone,5.63,"Adventure, Sci-Fi, Shounen",OVA,5,1998-11-27
3501,Wellber no Monogatari: Sisters of Wellber Zwei,6.85,"Adventure, Fantasy, Historical, Romance",TV,13,2008-01-02
3503,Kanokon,6.46,"Comedy, Ecchi, Harem, Romance, School, Shounen, Slice of Life, Supernatural",TV,12,2008-04-05
3505,Yuusha Shirei Dagwon,6.87,"Action, Adventure, Martial Arts, Mecha, Super Power, School",TV,48,1996-02-03
3506,Connected,5.98,"Dementia, Music, Sci-Fi",Music,1,2002-01-01
3507,Survival,6.17,"Dementia, Drama, Music, Psychological, School, Supernatural",Music,1,1999-05-19
3508,Genius Party,7.21,"Action, Sci-Fi, Music, Dementia, Psychological, Romance, Fantasy, Mecha",Movie,7,2007-07-07
3509,Riki-Oh: Toukatsu Jigoku,6.0,"Action, Martial Arts, Super Power, Seinen",OVA,1,1989-06-25
