MAL_ID,Name,Score,Genres,Type,Episodes,Aired
7462,Duel Masters VS,5.92,"Action, Adventure, Comedy, Shounen",TV,49,2014-04-05
7463,Re:␣Hamatora,7.4,"Mystery, Comedy, Super Power, Drama",TV,12,2014-07-08
7464,Mujaki no Rakuen,5.93,"Comedy, Ecchi, Romance, School, Seinen",OVA,3,2014-08-29
7465,Karneval Specials,6.9,"Comedy, Josei",Special,11,2013-06-21
7466,Oneechan ga Kita: Hajimete no… Kitaa!,6.49,"Slice of Life, Comedy",Special,1,2014-03-22
7467,Shin Strange+,6.25,"Slice of Life, Comedy, Josei",TV,12,2014-07-11
7468,Toki wa Meguru: Tokyo Station,6.57,Slice of Life,ONA,1,2014-06-24
7469,Love Stage!!: Chotto ja Nakutte,7.48,"Comedy, Romance, Shounen Ai",OVA,1,2014-11-22
7470,"Ano Natsu de Matteru: Bokutachi wa Koukou Saigo no Natsu wo Sugoshinagara, Ano Natsu de Matteiru.",7.21,"Comedy, Drama, Romance, Sci-Fi, Slice of Life",Special,1,2014-08-29
7471,Sekai Seifuku: Bouryaku no Zvezda - Shin Zvezda Daisakusen,6.74,"Action, Comedy, Fantasy",Special,1,2014-10-15
7472,Saimin Jutsu Zero Special,5.99,Hentai,Special,1,2013-09-06
7473,Kakushi Dere Special,6.39,Hentai,Special,1,2013-11-29
7474,Itadaki! Seieki♥ Special,7.17,Hentai,Special,1,2014-03-28
7475,Decorator,6.13,Music,Music,1,2014-02-20
7476,Witch Craft Works Specials,6.76,"Magic, Comedy",Special,6,2014-03-26
7477,Gakumon!: Ookami Shoujo wa Kujikenai,6.47,"Comedy, School, Shounen",ONA,3,2014-04-25
7478,Calligraffiti,4.36,"Dementia, Music",Movie,1,1982-12-05
7479,Enbi,6.42,Hentai,OVA,2,2014-05-02
7480,Choboraunyopomi Gekijou Dai Ni Maku Ai Mai Mii: Mousou Catastrophe,5.99,"Comedy, Slice of Life",TV,12,2014-07-08
7481,12-sai.,6.29,"Romance, School, Shoujo",OVA,8,2014-04-03
7482,Akage no Anne Specials,6.14,"Drama, Historical, Kids, Shoujo, Slice of Life",Special,2,2001-02-11
7483,The iDOLM@STER Cinderella Girls,7.15,"Comedy, Drama, Music",TV,13,2015-01-10
7484,Legend of Basara: Shinbashi Theater,5.85,Comedy,Special,1,2002-09-27
7485,Ninja Slayer From Animation,6.6,Action,ONA,26,2015-04-16
7486,Haiyore! Nyaruko-san W OVA,7.09,"Comedy, Ecchi, Parody",OVA,1,2014-04-01
7487,Non Non Biyori Repeat,8.18,"Comedy, School, Seinen, Slice of Life",TV,12,2015-07-07
7488,Aoki Hagane no Arpeggio: Ars Nova - Kirikumas,6.6,"Comedy, Parody",Special,13,2014-04-05
7489,Ninja Hattori-kun: Nin Nin Furusato Daisakusen no Maki,6.17,"Comedy, Kids, Martial Arts, Slice of Life",Movie,1,1983-03-12
7490,Renai Fuyou Gakuha The Animation,6.82,Hentai,OVA,1,2014-06-27
7491,Ookami Shoujo to Kuro Ouji,7.17,"Comedy, Romance, School, Shoujo",TV,12,2014-10-05
7492,Strange+ Special,5.67,"Slice of Life, Comedy, Josei",Special,1,2014-04-18
7493,Kara no Kyoukai: Manner Movies,6.41,"Action, Comedy",Movie,7,2007-12-01
7494,Toradora! Recap,7.49,"Slice of Life, Comedy, Romance, School",OVA,1,2009-04-30
7495,Gatchaman Crowds: Embrace,7.4,"Adventure, Sci-Fi",Special,1,2014-01-22
7496,Rennyuu Tales The Animation,6.51,Hentai,OVA,1,2014-05-30
7497,Strike Witches: Operation Victory Arrow,7.37,"Action, Ecchi, Magic, Military, Sci-Fi",OVA,3,2014-12-12
7498,Kenzen Robo Daimidaler Specials,6.16,"Ecchi, Comedy, Mecha, Seinen",Special,6,2014-07-25
7499,Kishin Houkou Demonbane (TV) Specials,5.83,"Magic, Mecha, Sci-Fi, Supernatural",Special,2,2006-08-25
7500,Nanatsu no Taizai,7.89,"Action, Adventure, Ecchi, Fantasy, Magic, Shounen, Supernatural",TV,24,2014-10-05
7501,Oira no Ski,5.25,"Comedy, Sports",Movie,1,1930-03-07
7502,Konna ni Yasashiku Sareta no,5.77,Hentai,OVA,3,2014-06-27
7503,Shingeki no Kyojin Movie 1: Guren no Yumiya,7.64,"Action, Drama, Fantasy, Shounen, Super Power",Movie,1,2014-11-22
7504,Shingeki no Kyojin Movie 2: Jiyuu no Tsubasa,7.74,"Action, Super Power, Drama, Fantasy, Shounen",Movie,1,2015-06-27
7505,Blade & Soul Specials,5.8,Comedy,Special,7,2014-06-25
7506,Hi☆sCoool! SeHa Girls,6.51,"Comedy, Game",TV,13,2014-10-08
7507,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari - Magica Quartet x Nisioisin,6.19,Comedy,Movie,4,2013-10-26
7508,Moonrakers,5.62,"Drama, Sci-Fi, Space",ONA,1,2014-04-15
7509,Meisou! Underworld,5.76,"Action, Supernatural, Thriller",ONA,1,2014-04-15
7510,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,8.27,"Slice of Life, Comedy, Drama, Romance, School",TV,13,2015-04-03
7511,Pokemon XY: Sora no Hahen,6.74,"Adventure, Fantasy, Kids",Movie,1,2014-07-12
7512,Puchimas!!: Petit Petit iDOLM@STER - Fuyu→Kotatsu←Haru,6.61,"Comedy, Music, Slice of Life",OVA,1,2014-03-27
7513,Gondora,4.05,Dementia,Movie,1,1997-12-05
7514,REACH x Thermae Romae: Pietrada no Kekkon,5.72,"Comedy, Historical, Seinen",Special,1,2014-04-13
7515,Lovely Movie: Itoshi no Muco,6.33,Slice of Life,TV,20,2013-07-29
7516,Lovely Movie: Itoshi no Muco Season 2,6.13,Slice of Life,TV,22,2014-04-27
7517,Tuzki: Love Assassin,5.75,"Comedy, Romance",ONA,1,2014-02-12
7518,Hoshi no Yuuenchi,5.36,"Sci-Fi, Adventure, Kids",OVA,1,1989-10-14
7519,The Adventures of Hello Kitty & Friends,5.87,"Fantasy, Kids",TV,52,2008-02-18
7520,Sora wa Koko ni Aru,5.5,Music,Music,1,2014-01-17
7521,Uchuu Senkan Yamato 2199: Tsuioku no Koukai,6.76,"Action, Military, Sci-Fi, Space, Drama",Special,1,2014-10-11
7522,Mobile Suit Gundam Unicorn: One of Seventy Two,6.38,Mecha,Special,1,2013-08-03
